-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                               aten::mm         1.18%       7.423ms         1.78%      11.230ms      23.298us     101.604ms        23.62%     101.604ms     210.796us           482
                                  D_data_fake_condition         0.00%       0.000us         0.00%       0.000us       0.000us      92.355ms        21.47%      92.355ms      23.089ms             4
                               G_data_forward_condition         0.00%       0.000us         0.00%       0.000us       0.000us      90.037ms        20.93%      90.037ms      22.509ms             4
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      50.107ms        11.65%      50.107ms     447.381us           112
                                aten::cudnn_convolution         3.23%      20.331ms         5.01%      31.534ms      33.264us      49.153ms        11.42%      49.153ms      51.849us           948
                             aten::convolution_backward         2.24%      14.124ms         6.10%      38.410ms      86.510us      39.604ms         9.21%      43.848ms      98.758us           444
                                            aten::copy_         0.61%       3.852ms         1.31%       8.238ms       9.513us      39.341ms         9.14%      39.341ms      45.428us           866
                                              aten::mul         1.71%      10.785ms         2.96%      18.613ms      11.294us      32.547ms         7.56%      32.547ms      19.749us          1648
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.190ms         7.48%      32.190ms      20.916us          1539
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      29.113ms         6.77%      29.113ms      32.419us           898
                                          G_critic_loss         0.00%       0.000us         0.00%       0.000us       0.000us      28.661ms         6.66%      28.661ms       7.165ms             4
                                  D_adversarial_forward         0.00%       0.000us         0.00%       0.000us       0.000us      26.836ms         6.24%      26.836ms       6.709ms             4
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us      24.146ms         5.61%      24.146ms      68.598us           352
                                             aten::add_         1.14%       7.172ms         2.25%      14.147ms       9.369us      23.404ms         5.44%      23.404ms      15.499us          1510
                                              aten::add         0.97%       6.109ms         1.86%      11.725ms      13.071us      23.131ms         5.38%      23.131ms      25.787us           897
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.928ms         3.93%      16.928ms      21.108us           802
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      16.921ms         3.93%      16.921ms       1.058ms            16
                           D_penalty_forward_input_grad         0.00%       0.000us         0.00%       0.000us       0.000us      15.638ms         3.63%      15.638ms       3.910ms             4
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      13.670ms         3.18%      13.670ms     284.795us            48
