-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                               aten::mm         1.16%       7.401ms         1.74%      11.063ms      22.951us     104.411ms        23.87%     104.411ms     216.620us           482
                                  D_data_fake_condition         0.00%       0.000us         0.00%       0.000us       0.000us      93.210ms        21.31%      93.210ms      23.302ms             4
                               G_data_forward_condition         0.00%       0.000us         0.00%       0.000us       0.000us      91.234ms        20.86%      91.234ms      22.808ms             4
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      51.355ms        11.74%      51.355ms     458.527us           112
                                aten::cudnn_convolution         3.12%      19.851ms         4.85%      30.797ms      32.486us      50.223ms        11.48%      50.223ms      52.977us           948
                             aten::convolution_backward         2.19%      13.887ms         5.20%      33.052ms      74.442us      40.728ms         9.31%      45.099ms     101.573us           444
                                            aten::copy_         0.58%       3.709ms         1.27%       8.046ms       9.291us      39.527ms         9.04%      39.527ms      45.643us           866
                                              aten::mul         1.71%      10.862ms         2.91%      18.491ms      11.220us      32.722ms         7.48%      32.722ms      19.855us          1648
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.293ms         7.38%      32.293ms      20.983us          1539
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      29.244ms         6.69%      29.244ms      32.566us           898
                                          G_critic_loss         0.00%       0.000us         0.00%       0.000us       0.000us      28.831ms         6.59%      28.831ms       7.208ms             4
                                  D_adversarial_forward         0.00%       0.000us         0.00%       0.000us       0.000us      27.233ms         6.23%      27.233ms       6.808ms             4
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us      24.800ms         5.67%      24.800ms      70.455us           352
                                             aten::add_         1.10%       6.998ms         2.44%      15.535ms      10.288us      23.584ms         5.39%      23.584ms      15.619us          1510
                                              aten::add         0.95%       6.061ms         1.79%      11.374ms      12.680us      23.200ms         5.30%      23.200ms      25.864us           897
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      17.396ms         3.98%      17.396ms       1.087ms            16
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.072ms         3.90%      17.072ms      21.287us           802
                           D_penalty_forward_input_grad         0.00%       0.000us         0.00%       0.000us       0.000us      15.863ms         3.63%      15.863ms       3.966ms             4
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      14.181ms         3.24%      14.181ms     295.440us            48
