-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                               aten::mm         1.47%      11.661ms         2.25%      17.846ms      22.821us     137.144ms        25.23%     137.144ms     175.375us           782
                                  D_data_fake_condition         0.00%       0.000us         0.00%       0.000us       0.000us     101.152ms        18.61%     101.152ms      25.288ms             4
                               G_data_forward_condition         0.00%       0.000us         0.00%       0.000us       0.000us     100.459ms        18.48%     100.459ms      25.115ms             4
                                            aten::copy_         0.64%       5.048ms         1.39%      11.034ms       9.430us      60.194ms        11.07%      60.194ms      51.448us          1170
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      49.999ms         9.20%      49.999ms     446.417us           112
                                aten::cudnn_convolution         2.53%      20.025ms         6.27%      49.693ms      52.419us      49.134ms         9.04%      49.134ms      51.829us           948
                             aten::convolution_backward         1.86%      14.759ms         6.02%      47.707ms     107.448us      39.778ms         7.32%      44.052ms      99.216us           444
                                              aten::mul         1.46%      11.586ms         2.79%      22.084ms      12.960us      39.675ms         7.30%      39.675ms      23.283us          1704
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.627ms         6.00%      32.627ms      20.053us          1627
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      29.157ms         5.36%      29.157ms      32.469us           898
                                          G_critic_loss         0.00%       0.000us         0.00%       0.000us       0.000us      28.629ms         5.27%      28.629ms       7.157ms             4
                                  D_adversarial_forward         0.00%       0.000us         0.00%       0.000us       0.000us      26.867ms         4.94%      26.867ms       6.717ms             4
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us      26.759ms         4.92%      26.759ms       3.345ms             8
                                     aten::_fused_adam_         0.04%     302.443us         0.05%     413.893us      34.491us      26.643ms         4.90%      26.643ms       2.220ms            12
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      26.643ms         4.90%      26.643ms       1.665ms            16
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.985ms         4.78%      25.985ms      59.057us           440
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us      24.173ms         4.45%      24.173ms      68.673us           352
                                             aten::add_         0.93%       7.337ms         2.41%      19.067ms      12.176us      23.807ms         4.38%      23.807ms      15.202us          1566
                                              aten::add         0.84%       6.619ms         1.84%      14.550ms      15.332us      23.218ms         4.27%      23.218ms      24.466us           949
