-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                               aten::mm         1.44%      11.493ms         2.58%      20.583ms      26.321us     141.651ms        25.65%     141.651ms     181.140us           782
                                  D_data_fake_condition         0.00%       0.000us         0.00%       0.000us       0.000us     102.537ms        18.57%     102.537ms      25.634ms             4
                               G_data_forward_condition         0.00%       0.000us         0.00%       0.000us       0.000us     102.440ms        18.55%     102.440ms      25.610ms             4
                                            aten::copy_         0.64%       5.068ms         1.39%      11.079ms       9.469us      60.534ms        10.96%      60.534ms      51.738us          1170
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      51.544ms         9.33%      51.544ms     460.212us           112
                                aten::cudnn_convolution         2.53%      20.151ms         4.89%      38.967ms      41.104us      50.067ms         9.07%      50.067ms      52.813us           948
                             aten::convolution_backward         1.78%      14.232ms         5.63%      44.877ms     101.074us      40.557ms         7.34%      44.927ms     101.187us           444
                                              aten::mul         1.34%      10.691ms         2.45%      19.558ms      11.478us      39.851ms         7.22%      39.851ms      23.387us          1704
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.754ms         5.93%      32.754ms      20.131us          1627
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      29.284ms         5.30%      29.284ms      32.610us           898
                                          G_critic_loss         0.00%       0.000us         0.00%       0.000us       0.000us      28.697ms         5.20%      28.697ms       7.174ms             4
                                  D_adversarial_forward         0.00%       0.000us         0.00%       0.000us       0.000us      26.992ms         4.89%      26.992ms       6.748ms             4
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us      26.804ms         4.85%      26.804ms       3.351ms             8
                                     aten::_fused_adam_         0.04%     311.302us         0.05%     413.373us      34.448us      26.749ms         4.84%      26.749ms       2.229ms            12
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      26.749ms         4.84%      26.749ms       1.672ms            16
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.075ms         4.72%      26.075ms      59.262us           440
                                             aten::add_         0.93%       7.421ms         2.93%      23.401ms      14.943us      23.960ms         4.34%      23.960ms      15.300us          1566
                                              aten::add         0.84%       6.670ms         1.94%      15.507ms      16.340us      23.300ms         4.22%      23.300ms      24.552us           949
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us      23.263ms         4.21%      23.263ms      69.236us           336
