-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                aten::cudnn_convolution         2.25%      90.720ms         3.45%     139.481ms      35.582us     603.226ms        24.04%     603.226ms     153.884us          3920
                             aten::convolution_backward         2.02%      81.512ms         5.93%     239.453ms     109.239us     577.551ms        23.01%     610.051ms     278.308us          2192
                               G_data_forward_condition         0.00%       0.000us         0.00%       0.000us       0.000us     501.332ms        19.98%     501.332ms      62.666ms             8
                                  D_data_fake_condition         0.00%       0.000us         0.00%       0.000us       0.000us     487.832ms        19.44%     487.832ms      60.979ms             8
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us     202.608ms         8.07%     202.608ms      12.663ms            16
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us     193.010ms         7.69%     193.010ms     262.241us           736
                           D_penalty_forward_input_grad         0.00%       0.000us         0.00%       0.000us       0.000us     180.999ms         7.21%     180.999ms      22.625ms             8
                                              aten::mul         1.69%      68.402ms         2.94%     118.604ms      11.231us     176.513ms         7.03%     176.513ms      16.715us         10560
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     166.203ms         6.62%     166.203ms      33.781us          4920
                                             aten::add_         1.56%      62.966ms         3.73%     150.745ms       9.902us     160.856ms         6.41%     160.856ms      10.566us         15224
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     153.882ms         6.13%     153.882ms      18.044us          8528
                                              aten::add         0.75%      30.261ms         1.20%      48.474ms      12.070us     131.843ms         5.25%     131.843ms      32.829us          4016
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     126.547ms         5.04%     126.547ms      17.046us          7424
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     107.364ms         4.28%     107.364ms      22.330us          4808
                                aten::native_group_norm         0.62%      25.020ms         1.50%      60.740ms      43.139us     106.899ms         4.26%     106.899ms      75.923us          1408
                                              aten::sum         1.37%      55.189ms         2.60%     105.040ms      14.687us     102.285ms         4.08%     102.285ms      14.302us          7152
                                ampere_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      95.593ms         3.81%      95.593ms     412.040us           232
                       aten::native_group_norm_backward         0.53%      21.249ms         1.54%      62.318ms      73.488us      86.507ms         3.45%      87.933ms     103.695us           848
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      83.797ms         3.34%      83.797ms      16.522us          5072
