-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                aten::cudnn_convolution         3.40%      60.830ms         5.30%      94.867ms      34.673us     214.739ms        25.12%     214.739ms      78.486us          2736
                           D_penalty_forward_input_grad         0.00%       0.000us         0.00%       0.000us       0.000us     199.457ms        23.33%     199.457ms      24.932ms             8
                             aten::convolution_backward         3.05%      54.543ms         5.55%      99.283ms      61.743us     155.333ms        18.17%     166.999ms     103.855us          1608
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us     104.733ms        12.25%     104.733ms       6.546ms            16
                                          G_critic_loss         0.00%       0.000us         0.00%       0.000us       0.000us      79.494ms         9.30%      79.494ms       9.937ms             8
                                  D_adversarial_forward         0.00%       0.000us         0.00%       0.000us       0.000us      78.184ms         9.15%      78.184ms       9.773ms             8
                                              aten::mul         2.83%      50.565ms         4.70%      84.091ms       9.556us      70.709ms         8.27%      70.709ms       8.035us          8800
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.813ms         8.17%      69.813ms      11.333us          6160
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us      66.110ms         7.73%      66.110ms      84.324us           784
                                             aten::add_         1.86%      33.198ms         3.68%      65.867ms       7.917us      66.099ms         7.73%      66.099ms       7.945us          8320
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      56.921ms         6.66%      56.921ms      10.342us          5504
                               G_data_forward_condition         0.00%       0.000us         0.00%       0.000us       0.000us      42.242ms         4.94%      42.242ms       5.280ms             8
                                              aten::sum         1.91%      34.267ms         3.10%      55.551ms      11.383us      39.575ms         4.63%      39.575ms       8.110us          4880
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      38.829ms         4.54%      38.829ms      10.834us          3584
                                  D_data_fake_condition         0.00%       0.000us         0.00%       0.000us       0.000us      37.982ms         4.44%      37.982ms       4.748ms             8
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      36.236ms         4.24%      36.236ms      15.406us          2352
                                              aten::add         0.98%      17.582ms         1.58%      28.243ms      11.462us      35.620ms         4.17%      35.620ms      14.456us          2464
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.433ms         3.33%      28.433ms       7.094us          4008
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      27.012ms         3.16%      27.012ms       7.744us          3488
