offset,step,modes,hq,missing_modes
0,10,1,0.0900878906,1 2 3 4 5 6 7
0,20,0,0.0000000000,0 1 2 3 4 5 6 7
0,30,0,0.0000000000,0 1 2 3 4 5 6 7
0,40,0,0.0000000000,0 1 2 3 4 5 6 7
0,50,1,0.0793457031,0 1 2 3 4 5 7
0,60,0,0.0000000000,0 1 2 3 4 5 6 7
0,70,0,0.0000000000,0 1 2 3 4 5 6 7
0,80,2,0.1889648438,0 1 2 3 5 6
0,90,2,0.1604003906,0 1 2 3 4 6
0,100,2,0.1679687500,0 1 2 3 4 6
0,110,0,0.0000000000,0 1 2 3 4 5 6 7
0,120,0,0.0000000000,0 1 2 3 4 5 6 7
0,130,0,0.0000000000,0 1 2 3 4 5 6 7
0,140,0,0.0000000000,0 1 2 3 4 5 6 7
0,150,0,0.0000000000,0 1 2 3 4 5 6 7
0,160,3,0.1655273438,1 2 5 6 7
0,170,1,0.0549316406,0 1 2 3 5 6 7
0,180,0,0.0000000000,0 1 2 3 4 5 6 7
0,190,0,0.0000000000,0 1 2 3 4 5 6 7
0,200,1,0.0747070312,0 1 2 3 4 5 6
0,210,0,0.0000000000,0 1 2 3 4 5 6 7
0,220,0,0.0000000000,0 1 2 3 4 5 6 7
0,230,1,0.0041503906,0 1 3 4 5 6 7
0,240,2,0.1694335938,0 1 3 4 6 7
0,250,4,0.2524414062,3 4 5 7
0,260,2,0.0744628906,1 2 3 4 6 7
0,270,0,0.0000000000,0 1 2 3 4 5 6 7
0,280,0,0.0000000000,0 1 2 3 4 5 6 7
0,290,3,0.2229003906,0 3 4 6 7
0,300,1,0.0742187500,1 2 3 4 5 6 7
0,310,4,0.2954101562,0 2 5 6
0,320,4,0.2692871094,1 3 4 5
0,330,3,0.2338867188,1 3 4 5 7
0,340,4,0.1667480469,0 3 4 5
0,350,2,0.1657714844,0 1 2 5 6 7
0,360,4,0.3015136719,4 5 6 7
0,370,6,0.5273437500,4 5
0,380,1,0.0029296875,0 1 2 3 4 5 7
0,390,5,0.2446289062,0 4 5
0,400,4,0.4846191406,1 2 4 5
0,410,6,0.1386718750,2 5
0,420,1,0.0810546875,0 1 2 3 4 5 7
0,430,5,0.6472167969,3 4 5
0,440,6,0.7194824219,3 5
0,450,5,0.6423339844,5 6 7
0,460,3,0.3068847656,1 2 3 5 6
0,470,5,0.4736328125,3 4 5
0,480,1,0.0766601562,0 1 2 3 4 5 7
0,490,4,0.1147460938,1 3 5 6
0,500,5,0.4975585938,4 6 7
0,510,7,0.3657226562,0
0,520,7,0.7487792969,7
0,530,5,0.3806152344,0 5 7
0,540,5,0.2834472656,5 6 7
0,550,6,0.5756835938,4 5
0,560,6,0.3457031250,2 5
0,570,7,0.6325683594,7
0,580,4,0.0595703125,2 4 5 6
0,590,8,0.8586425781,
0,600,8,0.9890136719,
0,610,7,0.7509765625,0
0,620,8,0.8999023438,
0,630,8,0.9279785156,
0,640,8,0.9926757812,
0,650,8,0.6640625000,
0,660,8,0.9992675781,
0,670,8,0.9992675781,
0,680,8,0.9799804688,
0,690,8,0.9250488281,
0,700,7,0.5046386719,5
0,710,5,0.3413085938,0 1 4
0,720,8,0.8898925781,
0,730,8,0.9448242188,
0,740,6,0.3989257812,0 5
0,750,1,0.0493164062,0 1 3 4 5 6 7
0,760,2,0.1669921875,0 1 2 4 5 7
0,770,1,0.0009765625,0 2 3 4 5 6 7
0,780,2,0.0637207031,0 1 3 5 6 7
0,790,2,0.1513671875,0 1 2 3 5 7
0,800,1,0.0693359375,0 1 2 3 5 6 7
0,810,1,0.0878906250,0 2 3 4 5 6 7
0,820,3,0.2873535156,2 3 5 6 7
0,830,7,0.6711425781,6
0,840,7,0.6259765625,7
0,850,8,0.3925781250,
0,860,8,0.7270507812,
0,870,8,0.7749023438,
0,880,8,0.8996582031,
0,890,8,0.9128417969,
0,900,8,0.9982910156,
0,910,8,0.8945312500,
0,920,8,0.9128417969,
0,930,8,0.8674316406,
0,940,8,0.8459472656,
0,950,8,0.9130859375,
0,960,8,0.9135742188,
0,970,8,0.9794921875,
0,980,8,0.9531250000,
0,990,8,0.9084472656,
0,1000,8,0.9936523438,
0,1010,8,0.9990234375,
0,1020,8,0.8410644531,
0,1030,8,0.9968261719,
0,1040,8,0.9980468750,
0,1050,8,0.9987792969,
0,1060,8,0.9992675781,
0,1070,8,1.0000000000,
0,1080,8,1.0000000000,
0,1090,8,0.9990234375,
0,1100,8,1.0000000000,
0,1110,8,0.9997558594,
0,1120,8,0.9997558594,
0,1130,8,0.9995117188,
0,1140,8,1.0000000000,
0,1150,8,1.0000000000,
0,1160,8,1.0000000000,
0,1170,8,1.0000000000,
0,1180,8,1.0000000000,
0,1190,8,0.9997558594,
0,1200,8,0.9997558594,
101,10,0,0.0000000000,0 1 2 3 4 5 6 7
101,20,0,0.0000000000,0 1 2 3 4 5 6 7
101,30,0,0.0000000000,0 1 2 3 4 5 6 7
101,40,0,0.0000000000,0 1 2 3 4 5 6 7
101,50,2,0.1313476562,0 1 3 4 6 7
101,60,0,0.0000000000,0 1 2 3 4 5 6 7
101,70,0,0.0000000000,0 1 2 3 4 5 6 7
101,80,2,0.1628417969,1 2 4 5 6 7
101,90,0,0.0000000000,0 1 2 3 4 5 6 7
101,100,0,0.0000000000,0 1 2 3 4 5 6 7
101,110,0,0.0000000000,0 1 2 3 4 5 6 7
101,120,1,0.0109863281,1 2 3 4 5 6 7
101,130,0,0.0000000000,0 1 2 3 4 5 6 7
101,140,0,0.0000000000,0 1 2 3 4 5 6 7
