offset,step,modes,hq,missing_modes
0,50,1,0.0793457031,0 1 2 3 4 5 7
0,100,2,0.1679687500,0 1 2 3 4 6
0,150,0,0.0000000000,0 1 2 3 4 5 6 7
0,200,1,0.0747070312,0 1 2 3 4 5 6
0,250,4,0.2524414062,3 4 5 7
0,300,1,0.0742187500,1 2 3 4 5 6 7
0,350,2,0.1657714844,0 1 2 5 6 7
0,400,4,0.4846191406,1 2 4 5
0,450,5,0.6423339844,5 6 7
0,500,5,0.4975585938,4 6 7
0,550,6,0.5756835938,4 5
0,600,8,0.9890136719,
0,650,8,0.6640625000,
0,700,7,0.5046386719,5
0,750,1,0.0493164062,0 1 3 4 5 6 7
0,800,1,0.0693359375,0 1 2 3 5 6 7
0,850,8,0.3925781250,
0,900,8,0.9982910156,
0,950,8,0.9130859375,
0,1000,8,0.9936523438,
0,1050,8,0.9987792969,
0,1100,8,1.0000000000,
0,1150,8,1.0000000000,
0,1200,8,0.9997558594,
101,50,2,0.1215820312,0 1 3 4 6 7
101,100,0,0.0000000000,0 1 2 3 4 5 6 7
101,150,2,0.0988769531,0 1 3 4 5 7
101,200,1,0.0898437500,0 1 2 3 5 6 7
101,250,3,0.1733398438,1 2 3 4 5
101,300,1,0.0368652344,0 1 2 3 4 6 7
101,350,4,0.2644042969,0 3 5 7
101,400,5,0.3979492188,1 3 4
101,450,4,0.1838378906,0 3 4 7
101,500,2,0.1887207031,0 1 2 3 5 6
101,550,4,0.3142089844,2 3 4 6
101,600,6,0.4082031250,4 6
101,650,7,0.6623535156,3
101,700,7,0.6540527344,3
101,750,2,0.1179199219,0 1 2 3 4 5
101,800,4,0.3178710938,3 4 5 7
101,850,7,0.4973144531,5
101,900,6,0.5061035156,3 5
101,950,7,0.9973144531,5
101,1000,7,0.9155273438,5
101,1050,7,0.9997558594,5
101,1100,7,1.0000000000,5
101,1150,7,1.0000000000,5
101,1200,7,1.0000000000,5
202,50,0,0.0000000000,0 1 2 3 4 5 6 7
202,100,0,0.0000000000,0 1 2 3 4 5 6 7
202,150,0,0.0000000000,0 1 2 3 4 5 6 7
202,200,0,0.0000000000,0 1 2 3 4 5 6 7
202,250,1,0.0815429688,0 1 2 3 4 5 6
202,300,0,0.0000000000,0 1 2 3 4 5 6 7
202,350,1,0.0749511719,0 1 2 3 4 6 7
202,400,1,0.0664062500,0 1 2 3 5 6 7
202,450,2,0.1740722656,0 1 2 3 4 5
202,500,4,0.2392578125,0 1 5 7
202,550,4,0.2912597656,0 1 3 5
202,600,3,0.2202148438,1 2 3 4 5
202,650,1,0.0002441406,0 1 2 3 5 6 7
202,700,1,0.1140136719,0 1 3 4 5 6 7
202,750,3,0.2504882812,0 1 3 5 7
202,800,0,0.0000000000,0 1 2 3 4 5 6 7
202,850,4,0.2709960938,2 3 4 5
202,900,4,0.5302734375,0 1 3 5
202,950,6,0.6323242188,3 5
202,1000,4,0.4792480469,2 3 4 5
202,1050,5,0.6469726562,2 3 5
202,1100,6,0.9846191406,3 5
202,1150,6,0.9978027344,3 5
202,1200,6,0.9978027344,3 5
303,50,1,0.0798339844,0 1 3 4 5 6 7
303,100,1,0.0737304688,0 1 2 3 4 5 6
303,150,0,0.0000000000,0 1 2 3 4 5 6 7
303,200,0,0.0000000000,0 1 2 3 4 5 6 7
303,250,2,0.1135253906,0 1 3 5 6 7
303,300,0,0.0000000000,0 1 2 3 4 5 6 7
303,350,4,0.3203125000,0 2 3 4
303,400,6,0.4399414062,0 3
303,450,7,0.7570800781,3
303,500,5,0.3347167969,0 3 5
303,550,7,0.8083496094,0
303,600,8,0.9680175781,
303,650,8,0.8591308594,
303,700,8,0.9196777344,
303,750,8,0.9794921875,
303,800,8,1.0000000000,
303,850,8,0.8693847656,
303,900,8,0.9365234375,
303,950,8,0.9934082031,
303,1000,8,0.9980468750,
303,1050,8,0.9987792969,
303,1100,8,0.9997558594,
303,1150,8,1.0000000000,
303,1200,8,1.0000000000,
404,50,0,0.0000000000,0 1 2 3 4 5 6 7
404,100,1,0.0913085938,0 1 2 3 4 5 7
404,150,0,0.0000000000,0 1 2 3 4 5 6 7
404,200,0,0.0000000000,0 1 2 3 4 5 6 7
404,250,1,0.0822753906,0 1 2 3 4 6 7
404,300,4,0.2265625000,1 3 6 7
404,350,3,0.0883789062,0 1 2 3 6
404,400,3,0.2092285156,0 1 3 6 7
404,450,8,0.9978027344,
404,500,7,0.5344238281,2
404,550,8,0.9997558594,
404,600,7,0.8293457031,2
404,650,8,0.8476562500,
404,700,8,0.9042968750,
404,750,7,0.7465820312,0
404,800,8,0.9560546875,
404,850,8,1.0000000000,
