source,name,pair,switch,window,streams,status,modes,hq,passing_suffix,first_pass_step,stable_from_step
grid,p0-101-k200,p0-101,200,,all,FAIL,7,0.9172363281,0,,
grid,p0-101-k400,p0-101,400,,all,FAIL,8,0.9997558594,4,900,
grid,p0-101-k0,p0-101,0,,all,FAIL,7,1.0000000000,0,,
grid,p0-101-k720,p0-101,720,,all,PASS,8,1.0000000000,10,600,750
grid,p0-101-k600,p0-101,600,,all,PASS,8,1.0000000000,10,600,750
grid,p0-101-k780,p0-101,780,,all,PASS,8,0.9995117188,6,600,950
grid,p0-101-k1000,p0-101,1000,,all,PASS,8,0.9997558594,7,600,900
grid,p0-101-k900,p0-101,900,,all,PASS,8,0.9685058594,5,600,1000
grid,p0-101-k840,p0-101,840,,all,FAIL,7,0.7412109375,0,600,
grid,p0-101-k1200,p0-101,1200,,all,PASS,8,0.9997558594,7,600,900
grid,p0-101-k1100,p0-101,1100,,all,PASS,8,0.9997558594,7,600,900
grid,p303-202-k0,p303-202,0,,all,FAIL,6,0.9978027344,0,,
grid,p303-202-k200,p303-202,200,,all,FAIL,7,1.0000000000,0,,
grid,p303-202-k600,p303-202,600,,all,FAIL,8,0.9995117188,4,600,
grid,p303-202-k400,p303-202,400,,all,PASS,8,1.0000000000,9,800,800
grid,p303-202-k780,p303-202,780,,all,PASS,8,1.0000000000,11,600,700
grid,p303-202-k840,p303-202,840,,all,PASS,8,1.0000000000,11,600,700
grid,p303-202-k720,p303-202,720,,all,PASS,8,0.9992675781,11,600,700
grid,p303-202-k1000,p303-202,1000,,all,PASS,8,1.0000000000,7,600,900
grid,p303-202-k900,p303-202,900,,all,PASS,8,0.9995117188,7,600,900
grid,p303-202-k1100,p303-202,1100,,all,PASS,8,1.0000000000,7,600,900
grid,p303-202-k1200,p303-202,1200,,all,PASS,8,1.0000000000,7,600,900
grid,p606-505-k0,p606-505,0,,all,FAIL,6,1.0000000000,0,,
grid,p606-505-k200,p606-505,200,,all,FAIL,8,0.9909667969,2,750,
grid,p606-505-k400,p606-505,400,,all,FAIL,8,0.8486328125,0,700,
grid,p606-505-k600,p606-505,600,,all,PASS,8,0.9863281250,6,950,950
grid,p606-505-k720,p606-505,720,,all,PASS,8,0.9995117188,9,800,800
grid,p606-505-k780,p606-505,780,,all,FAIL,8,1.0000000000,4,800,
grid,p606-505-k840,p606-505,840,,all,PASS,8,1.0000000000,9,800,800
grid,p606-505-k900,p606-505,900,,all,PASS,8,0.9953613281,7,800,900
grid,p606-505-k1000,p606-505,1000,,all,PASS,8,0.9992675781,7,800,900
grid,p606-505-k1100,p606-505,1100,,all,PASS,8,0.9997558594,7,800,900
grid,p606-505-k1200,p606-505,1200,,all,PASS,8,1.0000000000,7,800,900
grid,r101-0-k0,r101-0,0,,all,PASS,8,0.9997558594,7,600,900
grid,r101-0-k200,r101-0,200,,all,FAIL,7,0.9968261719,0,,
grid,r101-0-k400,r101-0,400,,all,FAIL,7,0.9865722656,0,,
grid,r101-0-k600,r101-0,600,,all,FAIL,7,0.9997558594,0,,
grid,r101-0-k720,r101-0,720,,all,FAIL,6,0.8889160156,0,,
grid,r101-0-k780,r101-0,780,,all,FAIL,7,0.9230957031,0,,
grid,r101-0-k840,r101-0,840,,all,FAIL,7,1.0000000000,0,,
grid,r101-0-k900,r101-0,900,,all,FAIL,8,0.9965820312,3,1100,
grid,r101-0-k1000,r101-0,1000,,all,FAIL,7,1.0000000000,0,,
grid,r101-0-k1100,r101-0,1100,,all,FAIL,7,1.0000000000,0,,
grid,r101-0-k1200,r101-0,1200,,all,FAIL,7,1.0000000000,0,,
grid,r202-303-k0,r202-303,0,,all,PASS,8,1.0000000000,7,600,900
grid,r202-303-k200,r202-303,200,,all,PASS,8,0.9892578125,9,800,800
grid,r202-303-k400,r202-303,400,,all,PASS,8,0.9965820312,8,850,850
grid,r202-303-k600,r202-303,600,,all,PASS,8,0.9997558594,9,800,800
grid,r202-303-k780,r202-303,780,,all,FAIL,6,0.9475097656,0,,
grid,r202-303-k720,r202-303,720,,all,FAIL,6,0.9985351562,0,,
grid,r202-303-k840,r202-303,840,,all,FAIL,7,0.9145507812,0,,
grid,r202-303-k900,r202-303,900,,all,FAIL,6,0.9963378906,0,,
grid,r202-303-k1000,r202-303,1000,,all,FAIL,6,0.9067382812,0,,
grid,r202-303-k1100,r202-303,1100,,all,FAIL,6,0.9990234375,0,,
grid,r202-303-k1200,r202-303,1200,,all,FAIL,6,0.9978027344,0,,
grid,r505-606-k0,r505-606,0,,all,PASS,8,1.0000000000,7,800,900
grid,r505-606-k200,r505-606,200,,all,PASS,8,1.0000000000,9,650,800
grid,r505-606-k400,r505-606,400,,all,FAIL,8,1.0000000000,2,900,
grid,r505-606-k600,r505-606,600,,all,FAIL,0,0.0000000000,0,,
grid,r505-606-k720,r505-606,720,,all,FAIL,6,0.9990234375,0,,
grid,r505-606-k780,r505-606,780,,all,FAIL,6,1.0000000000,0,,
grid,r505-606-k840,r505-606,840,,all,FAIL,6,0.9123535156,0,,
grid,r505-606-k900,r505-606,900,,all,FAIL,6,0.9997558594,0,,
grid,r505-606-k1000,r505-606,1000,,all,FAIL,6,1.0000000000,0,,
grid,r505-606-k1100,r505-606,1100,,all,FAIL,6,1.0000000000,0,,
grid,r505-606-k1200,r505-606,1200,,all,FAIL,6,1.0000000000,0,,
fine,p0-101-k800,,800,,all,FAIL,8,1.0000000000,4,600,
fine,p0-101-k550,,550,,all,FAIL,0,0.0000000000,0,,
fine,p0-101-k500,,500,,all,FAIL,8,0.9838867188,4,650,
fine,p0-101-k820,,820,,all,PASS,8,0.9992675781,6,600,950
fine,p0-101-k860,,860,,all,FAIL,8,1.0000000000,4,600,
fine,p0-101-k880,,880,,all,PASS,8,0.9960937500,6,600,950
fine,p303-202-k500,,500,,all,PASS,8,0.9990234375,9,550,800
fine,p303-202-k550,,550,,all,PASS,8,0.9980468750,8,650,850
fine,p303-202-k650,,650,,all,PASS,8,0.9997558594,10,600,750
fine,p303-202-k680,,680,,all,PASS,8,1.0000000000,10,600,750
fine,p303-202-k700,,700,,all,PASS,8,1.0000000000,9,600,800
fine,p606-505-k740,,740,,all,PASS,8,0.9147949219,9,800,800
fine,p606-505-k760,,760,,all,PASS,8,0.9965820312,8,850,850
fine,p606-505-k800,,800,,all,PASS,8,0.9997558594,9,800,800
fine,p606-505-k820,,820,,all,PASS,8,1.0000000000,7,800,900
fine,r101-0-k100,,100,,all,FAIL,7,1.0000000000,0,600,
fine,r101-0-k50,,50,,all,PASS,8,1.0000000000,9,600,800
fine,r101-0-k150,,150,,all,FAIL,8,0.9995117188,3,600,
fine,r202-303-k640,,640,,all,FAIL,7,0.9714355469,0,,
fine,r202-303-k660,,660,,all,FAIL,0,0.0000000000,0,,
fine,r202-303-k680,,680,,all,FAIL,7,1.0000000000,0,,
fine,r202-303-k700,,700,,all,FAIL,6,0.9978027344,0,,
fine,r505-606-k250,,250,,all,PASS,8,1.0000000000,8,450,850
fine,r505-606-k300,,300,,all,FAIL,8,1.0000000000,1,500,
fine,r505-606-k350,,350,,all,FAIL,3,0.3276367188,0,,
fine,w0-101-0-120-all,,,0:120,all,PASS,8,0.9997558594,6,850,950
fine,w0-101-0-120-data,,,0:120,data,PASS,8,1.0000000000,10,600,750
fine,w0-101-0-120-prior,,,0:120,prior,FAIL,4,0.2658691406,0,,
fine,w0-101-0-120-input,,,0:120,input,PASS,8,0.9887695312,7,700,900
fine,w0-101-0-120-output,,,0:120,output,FAIL,8,0.9997558594,4,1050,
fine,w0-101-0-200-data,,,0:200,data,FAIL,7,0.9995117188,0,,
fine,w0-101-0-120-noise,,,0:120,noise,PASS,8,1.0000000000,5,800,1000
fine,w0-101-0-200-prior,,,0:200,prior,FAIL,6,0.9997558594,0,,
fine,w0-101-0-200-noise,,,0:200,noise,PASS,8,1.0000000000,9,800,800
fine,w0-101-0-200-output,,,0:200,output,FAIL,6,0.9279785156,0,,
fine,w0-101-0-200-input,,,0:200,input,PASS,8,0.9887695312,7,700,900
fine,w0-101-0-200-eval,,,0:200,eval,PASS,8,0.9997558594,7,600,900
fine,w0-101-0-200-train,,,0:200,train,FAIL,7,0.9968261719,0,,
fine,w0-101-840-900-all,,,840:900,all,PASS,8,0.9997558594,6,600,950
fine,w0-101-840-960-all,,,840:960,all,PASS,8,0.9992675781,6,600,950
fine,w0-101-800-880-all,,,800:880,all,FAIL,8,0.7343750000,0,600,
fine,w0-101-780-840-all,,,780:840,all,PASS,8,1.0000000000,5,600,1000
fine,w0-101-840-1200-prior,,,840:1200,prior,PASS,8,0.9855957031,7,600,900
fine,w0-101-840-1200-data,,,840:1200,data,PASS,8,1.0000000000,7,600,900
fine,w0-101-840-1200-output,,,840:1200,output,PASS,8,0.9968261719,5,600,1000
fine,w0-101-840-1200-train,,,840:1200,train,FAIL,7,0.7495117188,0,600,
fine,w0-101-840-1200-eval,,,840:1200,eval,PASS,8,0.9997558594,7,600,900
fine,w0-101-840-1200-noise,,,840:1200,noise,PASS,8,0.9968261719,5,600,1000
fine,w303-202-600-720-all,,,600:720,all,PASS,8,1.0000000000,13,600,600
fine,w303-202-500-700-all,,,500:700,all,PASS,8,1.0000000000,12,550,650
fine,w303-202-0-200-all,,,0:200,all,PASS,8,0.9892578125,9,800,800
fine,w303-202-600-720-data,,,600:720,data,PASS,8,0.9899902344,7,600,900
fine,w303-202-600-720-prior,,,600:720,prior,PASS,8,1.0000000000,10,600,750
fine,w303-202-600-720-train,,,600:720,train,PASS,8,1.0000000000,13,600,600
fine,w303-202-600-720-eval,,,600:720,eval,PASS,8,1.0000000000,7,600,900
fine,w606-505-760-820-all,,,760:820,all,PASS,8,1.0000000000,5,900,1000
fine,w606-505-200-400-all,,,200:400,all,PASS,8,1.0000000000,6,950,950
fine,w606-505-0-200-all,,,0:200,all,PASS,8,1.0000000000,9,650,800
fine,w606-505-200-400-data,,,200:400,data,FAIL,7,0.9992675781,0,450,
fine,w606-505-200-400-prior,,,200:400,prior,PASS,8,0.9995117188,5,700,1000
fine,w606-505-200-400-train,,,200:400,train,PASS,8,1.0000000000,6,950,950
fine,w606-505-200-400-eval,,,200:400,eval,PASS,8,1.0000000000,7,800,900
fine,w606-505-760-820-data,,,760:820,data,PASS,8,0.9533691406,5,1000,1000
fine,w606-505-760-820-train,,,760:820,train,PASS,8,1.0000000000,5,900,1000
fine,w606-505-760-820-prior,,,760:820,prior,PASS,8,0.9997558594,5,900,1000
tight,w0-800-840-all,,,800:840,all,FAIL,7,0.7441406250,0,600,
tight,w0-840-880-all,,,840:880,all,PASS,8,1.0000000000,7,600,900
tight,w0-820-860-all,,,820:860,all,PASS,8,1.0000000000,7,600,900
tight,w0-800-880-data,,,800:880,data,FAIL,8,0.9091796875,3,600,
tight,w0-800-860-all,,,800:860,all,PASS,8,0.9028320312,6,600,950
tight,w0-820-880-all,,,820:880,all,PASS,8,1.0000000000,7,600,900
tight,w0-800-880-output,,,800:880,output,PASS,8,0.9997558594,7,600,900
tight,w0-800-880-train,,,800:880,train,FAIL,8,0.7343750000,0,600,
tight,w0-800-880-prior,,,800:880,prior,FAIL,7,0.9943847656,0,600,
tight,w0-800-880-noise,,,800:880,noise,PASS,8,0.9997558594,7,600,900
tight,w0-800-880-eval,,,800:880,eval,PASS,8,0.9997558594,7,600,900
tight,w0-prior-0-60,,,0:60,prior,PASS,8,1.0000000000,9,600,800
tight,w0-prior-0-40,,,0:40,prior,PASS,8,0.9990234375,7,900,900
tight,w0-prior-60-120,,,60:120,prior,PASS,8,0.9992675781,10,500,750
tight,w0-prior-40-80,,,40:80,prior,FAIL,1,0.0827636719,0,,
