offset,step,support_modes,max_particle_dist,logit_gap,paired_margin,grad_ratio_d_over_g
0,1,0,2.9136,0.0559,0.0319,13.773
0,6,0,2.8520,0.0185,0.0102,17.065
0,11,0,2.8745,0.3110,0.1320,6.520
0,16,0,3.2957,-0.0926,-0.0404,13.528
0,21,0,2.8659,0.3186,0.0904,18.554
0,26,0,3.8764,0.1813,0.1202,3.729
0,31,0,3.3819,0.0227,0.0295,2.692
0,36,1,3.2950,0.0177,0.0283,4.631
0,41,1,2.7587,0.0616,0.0460,3.630
0,46,0,2.6235,0.1457,0.0271,2.074
0,51,0,2.4003,0.0553,0.0563,3.619
0,56,1,2.6701,0.0721,0.0729,7.412
0,61,0,5.7462,-0.1840,0.0905,3.459
0,66,1,3.1154,0.0373,0.0220,3.658
0,71,0,2.6329,-0.0119,0.0105,3.275
0,76,0,2.0730,-0.0284,0.0741,0.960
0,81,1,1.8256,0.0530,0.0107,6.396
0,86,1,4.3863,0.0463,0.0427,1.264
0,91,1,1.6227,0.0178,0.0607,2.754
0,96,1,1.6870,0.0282,0.0481,2.439
0,101,0,1.3841,-0.0153,0.0763,2.332
0,106,0,2.3418,-0.0643,0.0764,4.743
0,111,2,1.2928,0.1008,0.1398,4.603
0,116,0,2.1274,0.1724,0.1904,1.354
0,121,0,2.7497,0.1170,0.1605,6.789
0,126,0,2.1561,0.1131,0.1389,4.944
0,131,1,1.9871,0.1778,0.2042,3.935
0,136,1,1.8688,0.4589,0.1181,7.634
0,141,0,2.8887,0.0263,0.0736,2.162
0,146,0,2.4977,-0.0802,0.0473,4.916
0,151,0,1.9183,-0.3236,0.2130,3.028
0,156,2,1.9854,-0.0356,0.0950,5.234
0,161,0,3.9861,-0.2327,0.0917,5.001
0,166,0,4.5372,0.1363,0.2017,3.075
0,171,1,5.3392,-0.0626,0.1384,3.162
0,176,0,18.4023,-0.3804,0.2756,1.718
0,181,1,4.8940,-0.0199,0.1914,2.802
0,186,1,2.2514,0.1000,0.1560,3.333
0,191,0,2.1675,-0.0086,0.1397,3.589
0,196,0,2.9577,0.0870,0.2257,2.915
0,201,1,3.1632,0.2968,0.3090,1.522
0,206,0,2.4787,0.0172,0.2207,5.022
0,211,0,2.4373,-0.1523,0.1164,5.154
0,216,0,2.9141,0.0796,0.1491,2.358
0,221,1,2.2585,0.0498,0.1930,2.673
0,226,0,2.8423,-0.2082,0.1724,4.702
0,231,0,2.5171,0.0363,0.2228,2.044
0,236,0,3.2851,-0.0048,0.2227,1.943
0,241,0,2.1605,0.0037,0.1346,6.789
0,246,1,2.0911,0.0634,0.2509,3.767
0,251,1,1.9112,0.0159,0.4049,2.798
0,256,2,1.9842,0.0709,0.1534,8.164
0,261,0,2.0738,-0.0516,0.4778,4.318
0,266,0,1.7132,0.3665,0.2163,5.087
0,271,0,1.9469,0.2830,0.2325,2.804
0,276,1,2.1193,0.0591,0.1728,4.734
0,281,1,1.7022,0.2040,0.1635,4.443
0,286,2,1.8572,0.1786,0.1788,1.909
0,291,2,1.7334,0.1214,0.1510,3.250
0,296,1,2.0082,0.2542,0.1943,2.974
0,301,0,1.9158,0.2924,0.2232,2.164
0,306,0,2.4225,0.4005,0.4408,2.551
0,311,2,2.3588,0.0111,0.1946,3.494
0,316,4,2.5025,-0.1389,0.1362,8.227
0,321,3,4.0269,0.0111,0.1616,3.867
0,326,2,2.2108,0.0264,0.2006,4.031
0,331,3,1.8560,-0.0186,0.2503,5.224
0,336,0,1.2668,0.0104,0.2740,1.501
0,341,4,0.9347,0.2175,0.2189,4.546
0,346,3,1.2138,0.0021,0.3340,2.796
0,351,1,1.7877,0.0773,0.2727,1.804
0,356,2,1.2867,0.0491,0.1840,6.257
0,361,2,0.7819,0.1536,0.2841,1.699
0,366,3,0.5320,-0.0003,0.1829,6.346
0,371,6,0.8579,0.3801,0.3034,6.246
0,376,2,0.5473,0.3987,0.4072,5.100
0,381,1,1.6255,-0.0044,0.2377,3.292
0,386,1,1.3643,0.0684,0.2818,3.531
0,391,1,1.0189,0.6599,0.1210,4.079
0,396,5,0.8933,0.2617,0.2151,2.015
0,401,6,0.7631,0.5135,0.2477,7.619
0,406,6,0.6477,0.9750,0.3819,8.438
0,411,2,0.6991,1.3019,0.2124,4.306
0,416,2,0.5662,0.8103,0.3385,4.508
0,421,1,1.7510,0.4586,0.1117,6.410
0,426,5,0.4746,0.2339,0.2493,6.289
