run,phase,batch_size,z_dim,num_particles,lr,d_lr_mult,loss_type,gan_mode,reg_arm,reg_coeff,reg_every,reg_method,lr_anneal_start,lr_floor,beta1,epochs,steps_per_epoch,lambda_ep,ema_decay,fourier,log_interval,snapshot_interval,seed,prior_kind,sigma_rel,standardize,particle_lr_multiplier,particle_beta1,mog_metrics,reg_fd_eps,reg_sync_stats,fused_adam,final_samples,save_checkpoint,out_dir,modes,hq,bridge,kl_balance,share_min,share_max,width,width_audited_modes,modes_real,hq_real,bridge_real,kl_balance_real,share_min_real,share_max_real,width_real,width_audited_modes_real,modes_ratio,hq_ratio,bridge_ratio,width_ratio,kl_balance_ratio,share_min_ratio,share_max_ratio,d_med,r_eff,k_nbrs,raw_std,sigma,d0,bridge_heuristic,raw_std_ratio,r_eff_drift_flag,raw_std_drift_flag,purity_mean,purity_below_09,components_no_hq,components_unsampled,alloc_empty,bridge_i_mean,deterministic_modes,deterministic_hq,deterministic_bridge,deterministic_kl_balance,deterministic_share_min,deterministic_share_max,deterministic_width,deterministic_width_audited_modes,passed,t_cover,d_gap,raw_std_live,raw_std_live_ratio,steps,git_sha,total_seconds,train_seconds,passed_strict,passed_baseline,passed_c0_mean,width_error,failed_metrics,quality_dominates_c0_s1,pareto_quality,matched_atoms,mog_pass_criteria,delta_hq_vs_atoms,delta_width_error_vs_atoms,delta_kl_vs_atoms
C0_s1,reference,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.0,False,1.0,,True,0.05,True,False,200000,True,results/mog/stage0/C0_s1,100,0.9901050000000001,0.009895000000000001,0.03750414025263102,0.4701521555794588,1.7927391539281186,0.791567333062366,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,1.0012742138555588,0.8870461676378305,0.7909158604586308,142.2385801819415,0.49829325646727746,1.7078431104682565,0.135827220507587,0.0,1.9454,1.0951504707336426,0.0,0.19913558661937714,0.0,1.093077448710021,False,False,1.0,0,206,1,0,0.01025051252562628,100,0.98975,0.01025,0.036844307865043904,0.4647638292498106,1.7984339479666582,0.7924876391620682,100,True,5500,0.05372397601604462,1.0949616432189941,1.092888978628992,7000,5db6d3a5432f8f7014588dd5f6926d00dde971e6,70.82637669399264,57.16259175783489,False,True,False,0.20908413954136917,,False,True,,,,,
n20000_r1over40_shipped_std0_7k_s1,component_scale,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.025,False,1.0,0.0,True,0.05,True,False,200000,True,results/mog/component_scale/n20000_r1over40_shipped_std0_7k_s1,100,0.9889100000000001,0.011090000000000001,0.035700109964385975,0.5794258324822279,1.6897392078146647,0.8265301480780974,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,1.0000657332544534,0.9941730165844912,0.8258499005171591,135.3965967348688,0.6141075426804808,1.6097207774099151,0.13343667928919173,0.03730900657450973,1.9009,1.0966778993606567,0.004978389944881201,0.19913558661937714,5.62492787366956e-41,1.0946019860510723,False,False,1.0,0,164,1,0,0.010992771298269158,,,,,,,,,True,5600,0.04577004909515381,1.0965279340744019,1.0944523046357095,7000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,79.51277616200969,61.7680390830792,False,True,False,0.17415009948284088,,False,True,C0_s1,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",-0.001208480601105455,-0.03493404005852829,-0.001804030288245044
n20000_r1over16_shipped_std0_28k_s1,scale_longer,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,28,1000,1.0,0.995,2,100,1000000,1,mog,0.0625,False,1.0,0.0,True,0.05,True,False,200000,True,results/mog/scale_longer/n20000_r1over16_shipped_std0_28k_s1,100,0.98889,0.01111,0.02656605354096769,0.5405050106685273,1.7079756090161695,0.9550718869232111,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,1.0000455076376984,0.9959659345584938,0.9542858474507115,100.75468231643028,0.5728571031881242,1.6270935848724413,0.12052580540457666,0.10326397838149992,2.0999,1.132949709892273,0.012445974163711071,0.19913558661937714,1.3498679963684853e-06,1.1308051372851051,True,False,1.0,0,11,1,0,0.011227584348508197,,,,,,,,,True,21700,0.04130977392196655,1.132803201675415,1.1306589063952157,28000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,302.69874719702057,241.59716550190933,False,True,True,0.045714152549288456,,False,True,C0_28k_s1,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.0009354347749139791,-0.010535770100723929,1.1775275969828913e-05
n20000_r1over40_shipped_std0_28k_s1,scale_longer,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,28,1000,1.0,0.995,2,100,1000000,1,mog,0.025,False,1.0,0.0,True,0.05,True,False,200000,True,results/mog/scale_longer/n20000_r1over40_shipped_std0_28k_s1,100,0.9886250000000001,0.011375000000000001,0.027419055325245592,0.5507649513212796,1.658869642179795,0.9574765465509364,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.999777518215696,1.0197220977140296,0.9566885280050171,103.989785477603,0.5837311557227124,1.5803130552228124,0.12257378036442254,0.04061545568783155,2.0144,1.1153219938278198,0.004978389944881201,0.19913558661937714,8.001772611043357e-35,1.1132107889126763,True,False,1.0,0,28,1,0,0.011298461468607357,,,,,,,,,True,19800,0.044678449630737305,1.1149851083755493,1.1128745411544767,28000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,307.3439488070144,244.66210910797236,False,True,False,0.043311471994982864,,False,True,C0_28k_s1,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.0006674453529116331,-0.01293845065502952,0.000864777060247731
n400_r1over40_28k_s1,scale_longer,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,28,1000,1.0,0.995,2,100,1000000,1,mog,0.025,True,10.0,0.5,True,0.05,True,False,200000,True,results/mog/scale_longer/n400_r1over40_28k_s1,100,0.9883850000000001,0.011615,0.028881620561691194,0.46591156280194457,1.7245304208380337,0.9271252028357848,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.9995348108146372,1.0412371134020617,0.9263621639322676,109.53672512890974,0.49379884171370725,1.642864435446614,0.3800112291804725,0.03458721752815816,2.215,4.239447593688965,0.013143531046807766,0.5257412195205688,2.5370189975121624e-47,4.106233755737089,False,True,1.0,0,1,0,0,0.011542494555966832,,,,,,,,,True,3400,0.05267362296581268,4.239132404327393,4.1059284703980605,28000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,292.9003796869947,246.80308763304492,False,True,False,0.07363783606773244,,False,False,,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",,,
C0_28k_s1,scale_longer,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,28,1000,1.0,0.995,2,100,1000000,1,mog,0.0,False,1.0,,True,0.05,True,False,200000,True,results/mog/scale_longer/C0_28k_s1,100,0.9879650000000001,0.012035,0.02655427826499786,0.5248161625158786,1.6508681987722238,0.9445274385724697,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.9991100728627844,1.0788883908561182,0.9437500773499876,100.71002328614945,0.5562291942368852,1.5726905240991518,0.1221526798357861,0.0,2.0531,1.1148468255996704,0.0,0.19913558661937714,0.0,1.1127365201355415,False,False,1.0,0,238,1,0,0.011850592529626482,100,0.9881500000000001,0.011850000000000001,0.02601701739939579,0.5414157769569397,1.6444871730000505,0.9446653526591867,100,True,19600,0.03478342294692993,1.1145366430282593,1.1124269247120329,28000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,302.76358479401097,241.37328234413872,False,True,False,0.056249922650012385,,False,True,,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",,,
n1600_r1over40_fast_7k_s1,component_scale,256,4,1600,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.025,True,10.0,0.5,True,0.05,True,False,200000,True,results/mog/component_scale/n1600_r1over40_fast_7k_s1,100,0.992395,0.007605000000000001,0.05866555327465481,0.061971291673174486,2.018853379954554,0.7314193030370901,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,1.003590046973995,0.6817570596145226,0.7308173332262234,222.4955684136649,0.06568060226640968,1.923249586224625,0.10622067653773912,0.088452617945933,2.3675,1.3433765172958374,0.009395496919751167,0.3758198618888855,1.869217722641319e-08,1.3275480625486387,True,False,1.0,0,5,0,0,0.007580370297365164,,,,,,,,,False,,0.04865950345993042,1.3378101587295532,1.3220472901032512,7000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,76.44205198102281,62.88168253184995,False,False,False,0.26918266677377656,"width,balance",False,True,n1600_r0_fast_7k_s1,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.004576045790796401,-0.11729607012170595,-0.022485713948926234
n6400_r0_fast_7k_s1,component_scale,256,4,6400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.0,True,10.0,0.5,True,0.05,True,False,200000,True,results/mog/component_scale/n6400_r0_fast_7k_s1,100,0.9905100000000001,0.00949,0.1135539334530954,0.19282995628514604,2.1690846129771533,0.6949773172879508,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,1.0016837825948455,0.850739578664276,0.6944053398155114,430.66579208704485,0.20437185222163476,2.0663665453944056,0.118489032467732,0.0,2.3615625,1.4705135822296143,0.0,0.2670202851295471,0.0,1.4655550262029537,False,False,0.9999999999999999,0,63,0,0,0.00984375,100,0.9901562500000001,0.00984375,0.11296463562174862,0.18936405239072118,2.14612592709484,0.7485925219125592,65,False,6300,0.04168999195098877,1.4625442028045654,1.4576125194398473,7000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,77.88378341399948,62.84811673278455,False,False,False,0.30559466018448855,"width,balance",False,False,,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",,,
n20000_r0_shipped_std1_7k_s1,component_scale,256,4,20000,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.0,True,1.0,0.0,True,0.05,True,False,200000,True,results/mog/component_scale/n20000_r0_shipped_std1_7k_s1,100,0.9900500000000001,0.00995,0.05007877351933953,0.3893742740265643,1.8372809454067978,0.8920322229082281,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,1.0012185934094828,0.8919766920663379,0.8912980660897228,189.92926100056798,0.41268039013911895,1.7502756035267677,0.11953135624839131,0.0,2.1962,1.096911072731018,0.0,0.19899339973926544,0.0,1.0948347180450704,False,False,1.0,0,201,1,0,0.01000050002500125,100,0.9900000000000001,0.01,0.04861450443327982,0.3888888888888889,1.8434343434343434,0.8940535208595067,100,False,5400,0.04288427531719208,1.0967625379562378,1.0946864644333518,7000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,81.10157509698183,63.58083974424517,False,False,False,0.10870193391027716,balance,False,True,,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",,,
n6400_r1over40_fast_7k_s1,component_scale,256,4,6400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.025,True,10.0,0.5,True,0.05,True,False,200000,True,results/mog/component_scale/n6400_r1over40_fast_7k_s1,100,0.9893600000000001,0.01064,0.13411461627095567,0.21023692083771325,3.1833710681652785,0.6893217267605996,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,1.0005208096314386,0.9538323621694306,0.688754403929822,508.64444489401114,0.22282071595473585,3.0326209671482607,0.13240241365474142,0.05041832111190064,2.4140625,1.481777310371399,0.00667550740763545,0.2670202851295471,4.2372440421570296e-23,1.4767807731742582,True,False,0.9999999999999999,0,38,0,0,0.010727638505098376,,,,,,,,,False,6400,0.08270084857940674,1.4735517501831055,1.4685829494866929,7000,a0ec34921c9dd3ebc5b789f60be8681900080f3e,77.84309006700641,63.011690885788994,False,False,False,0.311245596070178,"width,balance",False,False,n6400_r0_fast_7k_s1,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",-0.0011629729634068386,0.005650935885689434,0.020560682817860262
