run,num_particles,particle_lr_multiplier,particle_beta1,seed,component_center_hq,modes_with_hq_component_center,component_center_median_distance,noisy_sample_hq,nearest_neighbor_same_majority_fraction,nearest_different_majority_d_med,sigma_over_different_majority_d
n400_r0p03125_14k_s1,400,10.0,0.5,1,1.0,100,0.0028887109365314245,0.97306,0.635,0.606336728247771,0.02709618656533722
n400_r0p03125_14k_s2,400,10.0,0.5,2,1.0,100,0.0027621358167380095,0.9655800000000001,0.675,0.5774891934694959,0.028340742394592743
n400_r0p03125_14k_s3,400,10.0,0.5,3,0.9975,100,0.0027621358167380095,0.96435,0.681704260651629,0.5746046220931618,0.02920620632820465
n400_r0_s1,400,10.0,0.5,1,0.9825,100,0.02923169918358326,0.982635,0.44675324675324674,0.5872882648174085,0.0
n400_r0_s2,400,10.0,0.5,2,0.985,100,0.027482904493808746,0.9851350000000001,0.5655526992287918,0.5183322753956112,0.0
n400_r0_s3,400,10.0,0.5,3,0.975,100,0.029972674325108528,0.9743700000000001,0.5233160621761658,0.5549643908396299,0.0
n400_r1over16_s1,400,10.0,0.5,1,1.0,100,0.005524271633476019,0.6620450000000001,0.69,0.6254326478672528,0.052537753396924985
n400_r1over16_s2,400,10.0,0.5,2,1.0,100,0.005694289226084948,0.63197,0.6975,0.608585500621698,0.05378528555498286
n400_r1over16_s3,400,10.0,0.5,3,0.99,100,0.006176323629915714,0.646455,0.7676767676767676,0.589980904393379,0.056890048559277664
n400_r1over32_s1,400,10.0,0.5,1,1.0,100,0.0033474876545369625,0.9609350000000001,0.55,0.5721682401011048,0.028714304567332545
n400_r1over32_s2,400,10.0,0.5,2,0.9975,100,0.0036539623979479074,0.9511350000000001,0.606516290726817,0.5589919086199568,0.029278549859846407
n400_r1over32_s3,400,10.0,0.5,3,0.9925,100,0.0033829116728156805,0.9425350000000001,0.6221662468513854,0.5530337638093108,0.03034538259363759
n400_r1over40_14k_s1,400,10.0,0.5,1,0.9975,100,0.004979511257261038,0.9836250000000001,0.5388471177944862,0.5767678680761055,0.022788251173994762
n400_r1over40_14k_s2,400,10.0,0.5,2,0.9975,100,0.004367320332676172,0.98562,0.5875,0.5878735625512843,0.022272098958943057
n400_r1over40_14k_s3,400,10.0,0.5,3,0.9975,100,0.0069053396582603455,0.9868450000000001,0.6265664160401002,0.5659696879756806,0.023721442621437334
beta05_n400_m10p0_s1,400,10.0,0.5,1,0.9925,100,0.010006788186728954,0.388915,0.9118387909319899,0.7247126147395547,0.09068098319730303
beta05_n400_m10p0_s2,400,10.0,0.5,2,0.9975,100,0.01171875,0.34938,0.8696741854636592,0.693152947868378,0.09444652882519616
beta05_n400_m10p0_s3,400,10.0,0.5,3,0.9925,100,0.009802177548408508,0.38955,0.9546599496221663,0.6965420946832546,0.09637333495328461
