run,steps,sigma_rel,seed,diagnostic_samples,diagnostic_rng,component_bayes_ambiguity,output_mode_bayes_ambiguity,output_mode_classification_error,known_source_fraction,components_without_hq,generated_bridge,generated_hq,r_eff
n400_r0p03125_14k_s1,14000,0.03125,1,20000,CPU seed+999; independent of GPU quality evaluation,0.16811090381730012,9.14823772291129e-18,0.0,1.0,0,0.026940000000000002,0.97306,0.04246343261905289
n400_r0p03125_14k_s2,14000,0.03125,2,20000,CPU seed+999; independent of GPU quality evaluation,0.2078685248789733,9.953149415764528e-18,0.0,1.0,0,0.034420000000000006,0.9655800000000001,0.062250001925556686
n400_r0p03125_14k_s3,14000,0.03125,3,20000,CPU seed+999; independent of GPU quality evaluation,0.22133887656933754,1.141309269314661e-17,0.0,0.99765,1,0.03565,0.96435,0.09053132274545926
n400_r1over16_s1,7000,0.0625,1,20000,CPU seed+999; independent of GPU quality evaluation,0.23077034029249108,2.862154957483653e-17,0.0,1.0,0,0.337955,0.6620450000000001,0.15385851341775567
n400_r1over16_s2,7000,0.0625,2,20000,CPU seed+999; independent of GPU quality evaluation,0.3015663096979342,1.5337731085196537e-17,0.0,1.0,0,0.36803,0.63197,1.9035989158345623
n400_r1over16_s3,7000,0.0625,3,20000,CPU seed+999; independent of GPU quality evaluation,0.28906193090898313,6.767013752129181e-11,0.0,0.99035,4,0.35354500000000005,0.646455,0.9407415615478493
n400_r1over32_s1,7000,0.03125,1,20000,CPU seed+999; independent of GPU quality evaluation,0.10226728890469676,6.4004357369640274e-18,0.0,1.0,0,0.039065,0.9609350000000001,0.034645351401162906
n400_r1over32_s2,7000,0.03125,2,20000,CPU seed+999; independent of GPU quality evaluation,0.15328513070780955,8.765210779415612e-18,0.0,0.9972,1,0.048865000000000006,0.9511350000000001,0.041411261021292056
n400_r1over32_s3,7000,0.03125,3,20000,CPU seed+999; independent of GPU quality evaluation,0.13392080609396234,7.560618797697315e-18,0.0,0.99305,3,0.057465,0.9425350000000001,0.04239025592135836
n400_r1over40_14k_s1,14000,0.025,1,20000,CPU seed+999; independent of GPU quality evaluation,0.0982017598002497,5.984102102729594e-18,0.0,0.998,1,0.016375,0.9836250000000001,0.027332088449107922
n400_r1over40_14k_s2,14000,0.025,2,20000,CPU seed+999; independent of GPU quality evaluation,0.15444687459739573,8.3322237998118e-18,0.0,1.0,0,0.01438,0.98562,0.03191976470496807
n400_r1over40_14k_s3,14000,0.025,3,20000,CPU seed+999; independent of GPU quality evaluation,0.13843058250992643,8.526512829121201e-18,0.0,0.998,1,0.013155000000000002,0.9868450000000001,0.03656030943772147
beta05_n400_m10p0_s1,7000,0.125,1,20000,CPU seed+999; independent of GPU quality evaluation,0.49032569329472964,5.6479004902912934e-05,5.041593143433325e-05,0.99175,3,0.6110850000000001,0.388915,4.601851664433125
beta05_n400_m10p0_s2,7000,0.125,2,20000,CPU seed+999; independent of GPU quality evaluation,0.48510746175437697,0.00010046639064905248,0.00010030090270812437,0.997,1,0.6506200000000001,0.34938,4.011467920542955
beta05_n400_m10p0_s3,7000,0.125,3,20000,CPU seed+999; independent of GPU quality evaluation,0.5926182841997659,0.000439360217094495,0.0004532406707961928,0.99285,3,0.61045,0.38955,5.275734739959569
