run,phase,batch_size,z_dim,num_particles,lr,d_lr_mult,loss_type,gan_mode,reg_arm,reg_coeff,reg_every,reg_method,lr_anneal_start,lr_floor,beta1,epochs,steps_per_epoch,lambda_ep,ema_decay,fourier,log_interval,snapshot_interval,seed,prior_kind,sigma_rel,standardize,particle_lr_multiplier,particle_beta1,mog_metrics,mog_pass_criteria,reg_fd_eps,reg_sync_stats,fused_adam,final_samples,save_checkpoint,out_dir,modes,hq,bridge,kl_balance,share_min,share_max,width,width_audited_modes,modes_real,hq_real,bridge_real,kl_balance_real,share_min_real,share_max_real,width_real,width_audited_modes_real,modes_ratio,hq_ratio,bridge_ratio,width_ratio,kl_balance_ratio,share_min_ratio,share_max_ratio,d_med,r_eff,k_nbrs,raw_std,sigma,d0,bridge_heuristic,raw_std_ratio,r_eff_drift_flag,raw_std_drift_flag,purity_mean,purity_below_09,components_no_hq,components_unsampled,alloc_empty,bridge_i_mean,passed_strict,passed,passed_baseline,t_cover,d_gap,raw_std_live,raw_std_live_ratio,steps,passed_c0_mean,git_sha,total_seconds,deterministic_modes,deterministic_hq,deterministic_bridge,deterministic_kl_balance,deterministic_share_min,deterministic_share_max,deterministic_width,deterministic_width_audited_modes
n400_r0p03125_14k_s1,longer,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,14,1000,1.0,0.995,2,100,1000000,1,mog,0.03125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/longer/n400_r0p03125_14k_s1,100,0.97306,0.026940000000000002,0.039501655930037724,0.4799292952130393,2.035845682691715,1.0368443294760985,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.9840369319761944,2.4150605109816223,1.0359909899725863,149.8143782653429,0.5086556097802121,1.9394372101168484,0.38690732464822153,0.04246343261905289,2.24,3.9714791774749756,0.016429413110017776,0.5257412195205688,5.893291770745765e-32,3.8466855641832405,False,True,1.0,0,0,0,0,0.02703785579392391,False,False,False,3300,0.08480682969093323,3.9716694355010986,3.8468698438356954,14000,False,d02489e0929386cbd4900527417db2bd6edba493,144.6668087010039,,,,,,,,
n400_r0p03125_14k_s2,longer,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,14,1000,1.0,0.995,2,100,1000000,2,mog,0.03125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/longer/n400_r0p03125_14k_s2,100,0.9655800000000001,0.034420000000000006,0.038393438000287286,0.49245013359845896,1.8175604300006212,1.0796866721355696,100,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,1.0,0.9765268661697631,3.0704727921498662,1.080943677426422,121.9506224857532,0.523018010312374,1.7107906497670766,0.2629152122332846,0.062250001925556686,1.03,3.7852933406829834,0.016366472467780113,0.5237271189689636,4.933501211390927e-16,3.7933128484142067,True,True,1.0,0,0,0,0,0.03433165893350308,False,False,False,4200,0.045197367668151855,3.7854979038238525,3.7935178449417495,14000,False,d02489e0929386cbd4900527417db2bd6edba493,144.3005738889915,,,,,,,,
n400_r0p03125_14k_s3,longer,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,14,1000,1.0,0.995,2,100,1000000,3,mog,0.03125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/longer/n400_r0p03125_14k_s3,100,0.96435,0.03565,0.029834324478545643,0.4790791724996112,1.5627106341058745,1.0801231363426265,100,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,1.0,0.9749673949307963,3.273645546372819,1.0813204714863924,154.97657293971508,0.4998544307079013,1.487673450722292,0.18537253892973382,0.09053132274545926,0.895,3.867180109024048,0.016782021149992943,0.5370246767997742,1.491759029584371e-08,3.8183845278029502,True,True,1.0,0,1,0,0,0.035684982287108834,False,False,False,4500,0.06704544275999069,3.867400884628296,3.81860251768902,14000,False,d02489e0929386cbd4900527417db2bd6edba493,132.19516102201305,,,,,,,,
n400_r0_s1,noise_check,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.0,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/noise_check/n400_r0_s1,100,0.982635,0.017365000000000002,0.032223360632621094,0.2635770148630977,1.5519496048888957,0.363899290962782,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.9937199459976032,1.556701030927835,0.36359979601310566,122.21064219044867,0.27935349760160755,1.4784562688307898,0.491689408348313,0.0,4.135,3.3472955226898193,0.0,0.5257412195205688,0.0,3.242115290246226,False,True,1.0,0,7,0,0,0.0175,False,False,False,3800,0.026495516300201416,3.347360849380493,3.2421785642121064,7000,False,8a03ae021b837c5ff1d2aa9ed36695352be20895,75.13562967799953,0,0.9825,0.0175,0.032227980015796395,0.2544529262086514,1.5267175572519083,,0
n400_r0_s2,noise_check,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.0,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/noise_check/n400_r0_s2,100,0.9851350000000001,0.014865000000000001,0.026109701075074345,0.49587112426215696,1.8022910565557004,0.380702033458242,100,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,1.0,0.9963035629405638,1.3260481712756467,0.38114525877781436,82.93329446033019,0.5266513522654975,1.6964182520815905,0.3745359438515769,0.0,2.85,3.0061166286468506,0.0,0.5237271189689636,0.0,3.012485375630154,False,True,0.9999999999999999,0,6,0,0,0.015,False,False,False,3300,0.061666473746299744,3.0061700344085693,3.012538894537111,7000,False,8a03ae021b837c5ff1d2aa9ed36695352be20895,76.32794678400387,0,0.985,0.015,0.025624955248485702,0.5076142131979695,1.7766497461928936,,0
n400_r0_s3,noise_check,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.0,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/noise_check/n400_r0_s3,100,0.9743700000000001,0.025630000000000003,0.024289155703120256,0.49775752537537077,1.5584428913041248,0.432411737160244,100,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,1.0,0.9850977141066212,2.353535353535354,0.43289107303599605,126.17178958335883,0.5193427699620601,1.4836106335108978,0.46671595275270433,0.0,4.24,3.2843098640441895,0.0,0.5370246767997742,0.0,3.242868864605799,False,True,1.0,0,10,0,0,0.025,False,False,False,2600,0.03172260522842407,3.284533977508545,3.2430901502352865,7000,False,8a03ae021b837c5ff1d2aa9ed36695352be20895,73.88566122000339,0,0.975,0.025,0.02412641159093409,0.5128205128205128,1.5384615384615385,,0
n400_r1over16_s1,noise_check,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.0625,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/noise_check/n400_r1over16_s1,100,0.6620450000000001,0.337955,0.07665808024919317,0.17521467573956453,2.207553867184255,2.0537848283650697,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.669513422224919,30.29627969520394,2.052094530529672,290.734207494695,0.18570220367812398,2.1030140691674513,0.2135652131956941,0.15385851341775567,1.19,3.291551351547241,0.03285882622003555,0.5257412195205688,0.0006872904510223574,3.1881227376381953,True,True,1.0,0,0,0,0,0.3377059662298216,False,False,False,,0.11844921112060547,3.292080879211426,3.18863562624484,7000,False,8a03ae021b837c5ff1d2aa9ed36695352be20895,74.60183400902315,,,,,,,,
n400_r1over16_s2,noise_check,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.0625,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/noise_check/n400_r1over16_s2,100,0.63197,0.36803,0.07784580226797766,0.20412361346266436,2.056268493757615,2.1571358250840125,100,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,1.0,0.6391346999868526,32.83050847457627,2.15964723067528,247.26475509725643,0.2167941866334564,1.935476177003895,0.017195295008460162,1.9035989158345623,1.045,3.2584140300750732,0.032732944935560226,0.5237271189689636,0.4142444595884014,3.2653172933505683,True,True,1.0,0,0,0,0,0.36793296888881116,False,False,False,,0.13025635480880737,3.258920669555664,3.26582500619559,7000,False,8a03ae021b837c5ff1d2aa9ed36695352be20895,74.26901911300956,,,,,,,,
n400_r1over16_s3,noise_check,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.0625,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/noise_check/n400_r1over16_s3,100,0.646455,0.35354500000000005,0.09293222959932407,0.204963995947127,2.5183500785050774,2.124103503957916,100,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,1.0,0.6535724034738299,32.46510560146924,2.126458109362349,482.7432398982903,0.21385225530723923,2.3974256459578025,0.035678281551376645,0.9407415615478493,1.025,3.263376474380493,0.033564042299985886,0.5370246767997742,0.30497613741310925,3.2221996097604384,True,True,1.0,0,4,0,0,0.35293130887873253,False,False,False,,0.17413455247879028,3.2639405727386475,3.2227565903980633,7000,False,8a03ae021b837c5ff1d2aa9ed36695352be20895,75.71468331399956,,,,,,,,
n400_r1over32_s1,noise_check,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.03125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/noise_check/n400_r1over32_s1,100,0.9609350000000001,0.039065,0.05011487114547388,0.2492364207776801,2.043322389131419,1.1189088683941182,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.9717751518185358,3.5020170327207527,1.1179879884596027,190.0661652211341,0.2641545428766399,1.946559853449574,0.4742169568372831,0.034645351401162906,4.275,3.2953455448150635,0.016429413110017776,0.5257412195205688,6.962624048718065e-47,3.1917977080506885,False,True,1.0,0,0,0,0,0.03914153734669682,False,False,False,3300,0.0851137638092041,3.295808792114258,3.192246398983922,7000,False,8a03ae021b837c5ff1d2aa9ed36695352be20895,67.2339590699994,,,,,,,,
