run,num_particles,particle_lr_multiplier,particle_beta1,seed,component_center_hq,modes_with_hq_component_center,component_center_median_distance,noisy_sample_hq,nearest_neighbor_same_majority_fraction,nearest_different_majority_d_med,sigma_over_different_majority_d
beta05_n100_m10p0_s1,100,10.0,0.5,1,0.9,81,0.015097289346158504,0.26188,0.18,0.7976714408588168,0.13284442376503514
beta05_n100_m10p0_s2,100,10.0,0.5,2,0.93,81,0.01685808226466179,0.28269,0.28,0.8189884439295957,0.12720569385809738
beta05_n100_m10p0_s3,100,10.0,0.5,3,0.99,86,0.013028969056904316,0.31060000000000004,0.23,0.7843747634998754,0.1258454379299247
beta05_n400_m10p0_s1,400,10.0,0.5,1,0.9925,100,0.010006788186728954,0.388915,0.9118387909319899,0.7247126147395547,0.09068098319730303
beta05_n400_m10p0_s2,400,10.0,0.5,2,0.9975,100,0.01171875,0.34938,0.8696741854636592,0.693152947868378,0.09444652882519616
beta05_n400_m10p0_s3,400,10.0,0.5,3,0.9925,100,0.009802177548408508,0.38955,0.9546599496221663,0.6965420946832546,0.09637333495328461
lr_n100_m0p1_s1,100,0.1,0.0,1,0.75,66,0.025984639301896095,0.16549000000000003,0.06,0.8346613685890631,0.12695711926124398
lr_n100_m0p1_s2,100,0.1,0.0,2,0.66,61,0.031523462384939194,0.14720000000000003,0.13,0.8793028830281482,0.1184802134539262
lr_n100_m0p1_s3,100,0.1,0.0,3,0.77,67,0.031387027353048325,0.160525,0.13,0.8926754099994196,0.11057769095923356
lr_n100_m0p3_s1,100,0.3,0.0,1,0.7,61,0.026708582416176796,0.18699500000000002,0.16,0.8490760154052786,0.12480178569657903
lr_n100_m0p3_s2,100,0.3,0.0,2,0.71,62,0.026921968907117844,0.160635,0.1,0.7991415424835397,0.13036488248134534
lr_n100_m0p3_s3,100,0.3,0.0,3,0.81,70,0.021902013570070267,0.20386,0.16,0.8209289837405291,0.1202418084498064
lr_n100_m10p0_s1,100,10.0,0.0,1,0.88,74,0.01708286628127098,0.233245,0.25,0.7660247135702448,0.13833261647765058
lr_n100_m10p0_s2,100,10.0,0.0,2,0.87,75,0.016341015696525574,0.318105,0.28,0.7902135526515655,0.13183777084340204
lr_n100_m10p0_s3,100,10.0,0.0,3,0.98,88,0.01273281779140234,0.31307,0.18,0.7902607272801941,0.12490812488373146
lr_n100_m1p0_s1,100,1.0,0.0,1,0.79,67,0.01911170408129692,0.24269000000000002,0.2,0.8577575539402487,0.12353864145869872
lr_n100_m1p0_s2,100,1.0,0.0,2,0.73,63,0.02057744935154915,0.218005,0.22,0.8807890867539901,0.11828029529267524
lr_n100_m1p0_s3,100,1.0,0.0,3,0.88,74,0.0182175375521183,0.25639,0.24,0.8319514411460257,0.118648734447588
lr_n100_m3p0_s1,100,3.0,0.0,1,0.87,77,0.017686299979686737,0.25067500000000004,0.23,0.8442311900797622,0.12551799099569305
lr_n100_m3p0_s2,100,3.0,0.0,2,0.86,74,0.016829773783683777,0.26471500000000003,0.23,0.7734345776857015,0.13469787397346367
lr_n100_m3p0_s3,100,3.0,0.0,3,0.87,75,0.017304731532931328,0.25958000000000003,0.22,0.7946081681455801,0.12422473059166728
lr_n400_m0p1_s1,400,0.1,0.0,1,0.9525,97,0.02139541320502758,0.167975,0.34096692111959287,0.6102839696454494,0.10768372709879703
lr_n400_m0p1_s2,400,0.1,0.0,2,0.99,100,0.015746597200632095,0.16597,0.28967254408060455,0.5977506270600192,0.10952040350523484
lr_n400_m0p1_s3,400,0.1,0.0,3,0.97,99,0.01787402853369713,0.16681500000000002,0.314070351758794,0.6061224805691858,0.11075003279359383
lr_n400_m0p3_s1,400,0.3,0.0,1,0.98,100,0.020108653232455254,0.17389000000000002,0.35175879396984927,0.6065948403969543,0.10833862747178268
lr_n400_m0p3_s2,400,0.3,0.0,2,0.995,100,0.01702694781124592,0.172105,0.35175879396984927,0.5892959131148016,0.11109170862070267
lr_n400_m0p3_s3,400,0.3,0.0,3,0.9725,100,0.019384212791919708,0.16854000000000002,0.39195979899497485,0.6027082922186766,0.11137740340830775
lr_n400_m10p0_s1,400,10.0,0.0,1,0.99,100,0.009765625,0.367705,0.8693467336683417,0.6888506389080723,0.0954018893620293
lr_n400_m10p0_s2,400,10.0,0.0,2,0.9925,100,0.010054326616227627,0.36979500000000004,0.8841309823677582,0.6807438016070154,0.09616817621633382
lr_n400_m10p0_s3,400,10.0,0.0,3,0.985,100,0.010148734785616398,0.38001500000000005,0.949238578680203,0.6984990475988884,0.09610333017736616
lr_n400_m1p0_s1,400,1.0,0.0,1,0.995,100,0.016253238543868065,0.200415,0.4875,0.629486486769462,0.10439882955603304
lr_n400_m1p0_s2,400,1.0,0.0,2,0.9975,100,0.013845163397490978,0.219505,0.585,0.6227329248214624,0.10512675219459375
lr_n400_m1p0_s3,400,1.0,0.0,3,0.9875,100,0.015609733760356903,0.19838000000000003,0.5301507537688442,0.6382050460121295,0.10518262903031945
lr_n400_m3p0_s1,400,3.0,0.0,1,0.9875,100,0.01273281779140234,0.27786,0.7037974683544304,0.6534272845394195,0.10057378073276116
lr_n400_m3p0_s2,400,3.0,0.0,2,0.99,100,0.01273281779140234,0.27041000000000004,0.7808564231738035,0.6348938054617287,0.10311313373660995
lr_n400_m3p0_s3,400,3.0,0.0,3,0.9975,100,0.010148734785616398,0.3562,0.849624060150376,0.6955670551333875,0.09650843021468111
