run,phase,batch_size,z_dim,num_particles,lr,d_lr_mult,loss_type,gan_mode,reg_arm,reg_coeff,reg_every,reg_method,lr_anneal_start,lr_floor,beta1,epochs,steps_per_epoch,lambda_ep,ema_decay,fourier,log_interval,snapshot_interval,seed,prior_kind,sigma_rel,standardize,particle_lr_multiplier,particle_beta1,mog_metrics,mog_pass_criteria,reg_fd_eps,reg_sync_stats,fused_adam,final_samples,save_checkpoint,out_dir,modes,hq,bridge,kl_balance,share_min,share_max,width,width_audited_modes,modes_real,hq_real,bridge_real,kl_balance_real,share_min_real,share_max_real,width_real,width_audited_modes_real,modes_ratio,hq_ratio,bridge_ratio,width_ratio,kl_balance_ratio,share_min_ratio,share_max_ratio,d_med,r_eff,k_nbrs,raw_std,sigma,d0,bridge_heuristic,raw_std_ratio,r_eff_drift_flag,raw_std_drift_flag,purity_mean,purity_below_09,components_no_hq,components_unsampled,alloc_empty,bridge_i_mean,passed_strict,passed,passed_baseline,t_cover,d_gap,raw_std_live,raw_std_live_ratio,git_sha,total_seconds,passed_c0_mean,pass_coverage,pass_hq,pass_width,pass_balance
beta05_n100_m10p0_s1,beta,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/beta05_n100_m10p0_s1,92,0.26188,0.7381200000000001,0.26619680439989024,0.0,3.860546815335268,4.412460724782027,94,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,0.92,0.2648342257886726,66.16943074854325,4.408829198874898,1009.5806823395761,0.0,3.6777287240946075,0.7006513705234934,0.15123955703610759,4.7,3.0035886764526367,0.10596620291471481,0.8477296233177185,0.0022238888185032095,2.9141504057974132,False,True,0.9725550709622616,10,0,0,9,0.7378695242126467,False,False,False,,0.2543950080871582,3.003889799118042,2.914442561892043,33b314481d098307d724527fd356444e3e4049a1,73.86756819798029,False,False,False,False,False
beta05_n100_m10p0_s2,beta,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/beta05_n100_m10p0_s2,91,0.28269,0.7173100000000001,0.4254372170778312,0.0,5.562630443241714,4.460523227433088,94,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,0.91,0.28589488162299376,63.98840321141838,4.465716309316523,1351.3333567798697,0.0,5.23586230935076,0.6292218415305904,0.1655695756180499,2.5,2.9481890201568604,0.1041799932718277,0.8334399461746216,0.0031609514319355363,3.0120201531257083,False,True,0.9830065199609513,6,0,0,14,0.7178036031668279,False,False,False,,0.259354829788208,2.9489991664886475,3.0128478399061827,33b314481d098307d724527fd356444e3e4049a1,73.83787477199803,False,False,False,False,False
beta05_n100_m10p0_s3,beta,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/beta05_n100_m10p0_s3,87,0.31060000000000004,0.6894,0.37568398255658714,0.0,6.37958789439794,3.974106589745487,92,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,0.87,0.31401967425261096,63.30578512396694,3.9785119555087705,1951.5178286283012,0.0,6.07325715325115,0.6806999977913037,0.1450124664817268,3.62,2.895226240158081,0.09870998561382294,0.7896798849105835,0.0010222826991702829,2.907400704724132,False,True,0.9998294739187958,0,0,0,13,0.689506187998153,False,False,False,,0.30476346611976624,2.8957443237304688,2.907920966844782,33b314481d098307d724527fd356444e3e4049a1,74.23158193798736,False,False,False,False,False
beta05_n400_m10p0_s1,beta,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/beta05_n400_m10p0_s1,100,0.388915,0.6110850000000001,0.12978851774494266,0.11056400498823651,3.027653857526709,3.195784489876348,100,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,1.0,0.3933022870116145,54.78126400717167,3.19315430801356,492.23724003816557,0.11718184728037806,2.8842778215279368,0.014280697691320843,4.601851664433125,1.825,3.2326388359069824,0.0657176524400711,0.5257412195205688,0.8335492056481076,3.131061397684958,True,True,1.0,0,3,0,0,0.610867250876613,False,False,False,,0.2121034860610962,3.233025550842285,3.1314359610888203,33b314481d098307d724527fd356444e3e4049a1,74.96420441998634,False,True,False,False,False
beta05_n400_m10p0_s2,beta,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/beta05_n400_m10p0_s2,100,0.34938,0.6506200000000001,0.1733418718838058,0.14740397275173164,2.6876180662888545,3.5711346741104024,100,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,1.0,0.35334095207273536,58.039250669045494,3.575292301777348,550.5927648083409,0.15655378541050993,2.5297380940178544,0.016319684257193212,4.011467920542955,1.755,3.3881545066833496,0.06546588987112045,0.5237271189689636,0.7904576688865722,3.3953326376273636,True,True,1.0,0,1,0,0,0.6505996135083725,False,False,False,,0.19457244873046875,3.3885726928710938,3.3957517097827363,33b314481d098307d724527fd356444e3e4049a1,73.18140563700581,False,True,False,False,False
beta05_n400_m10p0_s3,beta,256,4,400,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.125,True,10.0,0.5,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/beta05_n400_m10p0_s3,100,0.38955,0.61045,0.16565347504407935,0.17199332563213965,3.1151328455910665,3.346737771613869,100,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,1.0,0.3938389056828866,56.056014692378334,3.3504476882114256,860.4990495543979,0.17945181256962622,2.9655525013499324,0.012723930961033535,5.275734739959569,1.92,3.298279047012329,0.06712808459997177,0.5370246767997742,0.8875149243973116,3.256661786219955,True,True,1.0,0,3,0,0,0.6103583113972721,False,False,False,,0.21023720502853394,3.2987823486328125,3.2571587372453257,33b314481d098307d724527fd356444e3e4049a1,72.64941519298009,False,True,False,False,False
lr_n100_m0p1_s1,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.125,True,0.1,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m0p1_s1,94,0.16549000000000003,0.8345100000000001,0.37044911073274633,0.0,4.323524080004834,6.206927706413849,97,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,0.94,0.16735686583842768,74.81039892424921,6.201819305415983,1404.9690296951192,0.0,4.118781472921367,0.8224794358795665,0.12883751044960007,4.66,1.0356087684631348,0.10596620291471481,0.8477296233177185,0.00024252709146241124,1.0047713045810562,False,False,0.8993486391695049,28,0,0,18,0.8344282720766621,False,False,False,,0.2952154874801636,1.0356197357177734,1.004781945262254,33b314481d098307d724527fd356444e3e4049a1,67.71047915701638,False,False,False,False,False
lr_n100_m0p1_s2,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.125,True,0.1,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m0p1_s2,94,0.14720000000000003,0.8528000000000001,0.3679860302133954,0.0,5.893342391304348,6.182285317509061,97,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,0.94,0.1488688194662163,76.07493309545049,6.189482929144201,1168.8488394878561,0.0,5.547147094809924,0.876405816912359,0.11887186422251433,6.42,1.0002912282943726,0.1041799932718277,0.8334399461746216,8.33602249922059e-05,1.021948497202264,False,False,0.9034841544386629,33,0,0,16,0.8525044349190801,False,False,False,,0.317160964012146,1.0002844333648682,1.0219415551559887,33b314481d098307d724527fd356444e3e4049a1,74.2044828000071,False,False,False,False,False
lr_n100_m0p1_s3,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.125,True,0.1,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m0p1_s3,91,0.160525,0.8394750000000001,0.37439754067738984,0.0,4.771842392150756,5.903627349365414,96,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,0.91,0.16229236384224202,77.08677685950414,5.910171622201776,1944.835312526169,0.0,4.5427112882581655,0.8542963854884278,0.11554536258208253,6.62,1.0034176111221313,0.09870998561382294,0.7896798849105835,4.996280396290453e-05,1.007636995425201,False,False,0.9221151904554159,23,0,0,17,0.8394262862669453,False,False,False,,0.3020622730255127,1.003426194190979,1.0076456145859662,33b314481d098307d724527fd356444e3e4049a1,74.96133331101737,False,False,False,False,False
lr_n100_m0p3_s1,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.125,True,0.3,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m0p3_s1,95,0.18699500000000002,0.8130050000000001,0.41109497150077157,0.0,8.024278724030054,5.784048316479205,97,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,0.95,0.18910446025413488,72.88256387270282,5.7792879519979055,1559.1229307570482,0.0,7.64428506248892,0.8153999570515768,0.1299561055875946,5.02,1.0373390913009644,0.10596620291471481,0.8477296233177185,0.00029957401069843307,1.0064501033591822,False,False,0.8887274745204647,30,0,0,15,0.8128727166117579,False,False,False,,0.2954432964324951,1.0373716354370117,1.0064816784240411,33b314481d098307d724527fd356444e3e4049a1,74.96759602401289,False,False,False,False,False
